"TIME","GEO","SEX","FIELD","ISCED97","UNIT","Value","Flag and Footnotes"
"2004","Sweden","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","23,374",""
"2004","Sweden","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","18,333",""
"2004","United Kingdom","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2004","United Kingdom","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2004","United Kingdom","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2004","Iceland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,233",""
"2004","Iceland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,213",""
"2004","Iceland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,020",""
"2004","Liechtenstein","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","337",""
"2004","Liechtenstein","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","185",""
"2004","Liechtenstein","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","152",""
"2004","Norway","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","24,314",""
"2004","Norway","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","12,107",""
"2004","Norway","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","12,207",""
"2004","Switzerland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","59,961",""
"2004","Switzerland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","32,585",""
"2004","Switzerland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","27,376",""
"2004","Former Yugoslav Republic of Macedonia, the","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","15,283",""
"2004","Former Yugoslav Republic of Macedonia, the","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","8,698",""
"2004","Former Yugoslav Republic of Macedonia, the","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","6,585",""
"2004","Albania","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Albania","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Albania","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2004","Turkey","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","229,142",""
"2004","Turkey","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","138,636",""
